Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","486","Bananas","2018","2018","tonnes","0","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","486","Bananas","2018","2018","1000 US$","0","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","486","Bananas","2018","2018","tonnes","65139","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","486","Bananas","2018","2018","1000 US$","21470","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","44","Barley","2018","2018","tonnes","15422","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","44","Barley","2018","2018","1000 US$","3878","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","176","Beans, dry","2018","2018","tonnes","100946","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","176","Beans, dry","2018","2018","1000 US$","69357","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","176","Beans, dry","2018","2018","tonnes","2","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","176","Beans, dry","2018","2018","1000 US$","2","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","414","Beans, green","2018","2018","tonnes","261","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","414","Beans, green","2018","2018","1000 US$","286","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5607","Import Quantity","1181","Beehives","2018","2018","No","357700","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","1181","Beehives","2018","2018","1000 US$","88","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5907","Export Quantity","1181","Beehives","2018","2018","No","783553","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","1181","Beehives","2018","2018","1000 US$","199","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","51","Beer of barley","2018","2018","tonnes","15","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","51","Beer of barley","2018","2018","1000 US$","60","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","1183","Beeswax","2018","2018","tonnes","11","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","1183","Beeswax","2018","2018","1000 US$","32","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","169","Beet pulp","2018","2018","tonnes","20","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","169","Beet pulp","2018","2018","1000 US$","3","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","634","Beverages, distilled alcoholic","2018","2018","tonnes","9","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","634","Beverages, distilled alcoholic","2018","2018","1000 US$","126","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","633","Beverages, non alcoholic","2018","2018","tonnes","16100","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","633","Beverages, non alcoholic","2018","2018","1000 US$","7945","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","633","Beverages, non alcoholic","2018","2018","tonnes","2724","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","633","Beverages, non alcoholic","2018","2018","1000 US$","2716","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","59","Bran, maize","2018","2018","tonnes","6","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","59","Bran, maize","2018","2018","1000 US$","7","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","85","Bran, sorghum","2018","2018","tonnes","439","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","85","Bran, sorghum","2018","2018","1000 US$","946","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","85","Bran, sorghum","2018","2018","tonnes","7","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","85","Bran, sorghum","2018","2018","1000 US$","25","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","17","Bran, wheat","2018","2018","tonnes","13","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","17","Bran, wheat","2018","2018","1000 US$","29","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","17","Bran, wheat","2018","2018","tonnes","117689","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","17","Bran, wheat","2018","2018","1000 US$","7481","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","229","Brazil nuts, shelled","2018","2018","tonnes","0","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","229","Brazil nuts, shelled","2018","2018","1000 US$","0","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","20","Bread","2018","2018","tonnes","187","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","20","Bread","2018","2018","1000 US$","373","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","20","Bread","2018","2018","tonnes","177","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","20","Bread","2018","2018","1000 US$","538","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","181","Broad beans, horse beans, dry","2018","2018","tonnes","581","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","181","Broad beans, horse beans, dry","2018","2018","1000 US$","372","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","89","Buckwheat","2018","2018","tonnes","133","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","89","Buckwheat","2018","2018","1000 US$","34","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","886","Butter, cow milk","2018","2018","tonnes","725","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","886","Butter, cow milk","2018","2018","1000 US$","1979","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","886","Butter, cow milk","2018","2018","tonnes","64","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","886","Butter, cow milk","2018","2018","1000 US$","397","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","358","Cabbages and other brassicas","2018","2018","tonnes","197","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","358","Cabbages and other brassicas","2018","2018","1000 US$","195","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","358","Cabbages and other brassicas","2018","2018","tonnes","38800","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","358","Cabbages and other brassicas","2018","2018","1000 US$","17140","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","253","Cake, copra","2018","2018","tonnes","47","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","253","Cake, copra","2018","2018","1000 US$","19","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","253","Cake, copra","2018","2018","tonnes","0","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","253","Cake, copra","2018","2018","1000 US$","0","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","332","Cake, cottonseed","2018","2018","tonnes","128","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","332","Cake, cottonseed","2018","2018","1000 US$","190","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","332","Cake, cottonseed","2018","2018","tonnes","2","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","332","Cake, cottonseed","2018","2018","1000 US$","16","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","245","Cake, groundnuts","2018","2018","tonnes","946","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","245","Cake, groundnuts","2018","2018","1000 US$","952","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","245","Cake, groundnuts","2018","2018","tonnes","11","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","245","Cake, groundnuts","2018","2018","1000 US$","41","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","335","Cake, linseed","2018","2018","tonnes","8444","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","335","Cake, linseed","2018","2018","1000 US$","11113","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","335","Cake, linseed","2018","2018","tonnes","3722","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","335","Cake, linseed","2018","2018","1000 US$","28999","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","259","Cake, palm kernel","2018","2018","tonnes","98661","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","259","Cake, palm kernel","2018","2018","1000 US$","33898","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","272","Cake, rapeseed","2018","2018","tonnes","192","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","272","Cake, rapeseed","2018","2018","1000 US$","73","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","272","Cake, rapeseed","2018","2018","tonnes","57225","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","272","Cake, rapeseed","2018","2018","1000 US$","18238","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","238","Cake, soybeans","2018","2018","tonnes","1156","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","238","Cake, soybeans","2018","2018","1000 US$","1156","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","238","Cake, soybeans","2018","2018","tonnes","35038","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","238","Cake, soybeans","2018","2018","1000 US$","16857","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","269","Cake, sunflower","2018","2018","tonnes","145","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","269","Cake, sunflower","2018","2018","1000 US$","48","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","269","Cake, sunflower","2018","2018","tonnes","95","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","269","Cake, sunflower","2018","2018","1000 US$","487","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","101","Canary seed","2018","2018","tonnes","671","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","101","Canary seed","2018","2018","1000 US$","216","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","426","Carrots and turnips","2018","2018","tonnes","21","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","426","Carrots and turnips","2018","2018","1000 US$","8","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","426","Carrots and turnips","2018","2018","tonnes","261","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","426","Carrots and turnips","2018","2018","1000 US$","131","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","230","Cashew nuts, shelled","2018","2018","tonnes","222","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","230","Cashew nuts, shelled","2018","2018","1000 US$","605","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","217","Cashew nuts, with shell","2018","2018","tonnes","27","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","217","Cashew nuts, with shell","2018","2018","1000 US$","54","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5608","Import Quantity","866","Cattle","2018","2018","Head","6925","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","866","Cattle","2018","2018","tonnes","0","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","866","Cattle","2018","2018","1000 US$","11098","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5908","Export Quantity","866","Cattle","2018","2018","Head","1405","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","866","Cattle","2018","2018","tonnes","0","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","866","Cattle","2018","2018","1000 US$","549","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","113","Cereal preparations nes","2018","2018","tonnes","15","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","113","Cereal preparations nes","2018","2018","1000 US$","41","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","113","Cereal preparations nes","2018","2018","tonnes","200","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","113","Cereal preparations nes","2018","2018","1000 US$","104","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","41","Cereals, breakfast","2018","2018","tonnes","1858","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","41","Cereals, breakfast","2018","2018","1000 US$","6446","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","41","Cereals, breakfast","2018","2018","tonnes","154","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","41","Cereals, breakfast","2018","2018","1000 US$","280","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","907","Cheese, processed","2018","2018","tonnes","1779","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","907","Cheese, processed","2018","2018","1000 US$","4353","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","901","Cheese, whole cow milk","2018","2018","tonnes","3569","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","901","Cheese, whole cow milk","2018","2018","1000 US$","8752","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","901","Cheese, whole cow milk","2018","2018","tonnes","1","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","901","Cheese, whole cow milk","2018","2018","1000 US$","1","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","531","Cherries","2018","2018","tonnes","136","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","531","Cherries","2018","2018","1000 US$","83","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","531","Cherries","2018","2018","tonnes","3","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","531","Cherries","2018","2018","1000 US$","4","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","191","Chick peas","2018","2018","tonnes","500367","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","191","Chick peas","2018","2018","1000 US$","334453","R","Estimated data using trading partners database"
"TCL","Crops and livestock products","165","Pakistan","5609","Import Quantity","1057","Chickens","2018","2018","1000 Head","750","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","1057","Chickens","2018","2018","tonnes","0","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","1057","Chickens","2018","2018","1000 US$","10582","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5909","Export Quantity","1057","Chickens","2018","2018","1000 Head","10919","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","1057","Chickens","2018","2018","tonnes","0","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","1057","Chickens","2018","2018","1000 US$","8318","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","689","Chillies and peppers, dry","2018","2018","tonnes","320","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","689","Chillies and peppers, dry","2018","2018","1000 US$","686","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","689","Chillies and peppers, dry","2018","2018","tonnes","2096","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","689","Chillies and peppers, dry","2018","2018","1000 US$","5175","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","401","Chillies and peppers, green","2018","2018","tonnes","37","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","401","Chillies and peppers, green","2018","2018","1000 US$","7","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","401","Chillies and peppers, green","2018","2018","tonnes","123","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","401","Chillies and peppers, green","2018","2018","1000 US$","207","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","666","Chocolate products nes","2018","2018","tonnes","6435","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","666","Chocolate products nes","2018","2018","1000 US$","16852","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","666","Chocolate products nes","2018","2018","tonnes","147","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","666","Chocolate products nes","2018","2018","1000 US$","716","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","828","Cigarettes","2018","2018","tonnes","44","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","828","Cigarettes","2018","2018","1000 US$","296","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","828","Cigarettes","2018","2018","tonnes","1","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","828","Cigarettes","2018","2018","1000 US$","72","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","829","Cigars, cheroots","2018","2018","tonnes","27","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","829","Cigars, cheroots","2018","2018","1000 US$","42","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","693","Cinnamon (cannella)","2018","2018","tonnes","4359","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","693","Cinnamon (cannella)","2018","2018","1000 US$","7483","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","693","Cinnamon (cannella)","2018","2018","tonnes","13","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","693","Cinnamon (cannella)","2018","2018","1000 US$","40","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","698","Cloves","2018","2018","tonnes","1615","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","698","Cloves","2018","2018","1000 US$","7467","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","698","Cloves","2018","2018","tonnes","2","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","698","Cloves","2018","2018","1000 US$","23","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","661","Cocoa, beans","2018","2018","tonnes","0","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","661","Cocoa, beans","2018","2018","1000 US$","0","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","664","Cocoa, butter","2018","2018","tonnes","982","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","664","Cocoa, butter","2018","2018","1000 US$","5766","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","664","Cocoa, butter","2018","2018","tonnes","0","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","664","Cocoa, butter","2018","2018","1000 US$","2","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","662","Cocoa, paste","2018","2018","tonnes","742","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","662","Cocoa, paste","2018","2018","1000 US$","2600","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","665","Cocoa, powder & cake","2018","2018","tonnes","7077","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","665","Cocoa, powder & cake","2018","2018","1000 US$","16092","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","665","Cocoa, powder & cake","2018","2018","tonnes","0","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","665","Cocoa, powder & cake","2018","2018","1000 US$","0","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","249","Coconuts","2018","2018","tonnes","1730","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","249","Coconuts","2018","2018","1000 US$","2879","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","249","Coconuts","2018","2018","tonnes","35","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","249","Coconuts","2018","2018","1000 US$","79","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","250","Coconuts, desiccated","2018","2018","tonnes","6948","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","250","Coconuts, desiccated","2018","2018","1000 US$","9699","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","250","Coconuts, desiccated","2018","2018","tonnes","2","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","250","Coconuts, desiccated","2018","2018","1000 US$","10","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","1187","Cocoons, unreelable & waste","2018","2018","tonnes","15","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","1187","Cocoons, unreelable & waste","2018","2018","1000 US$","31","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","659","Coffee, extracts","2018","2018","tonnes","492","*","Unofficial figure"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","659","Coffee, extracts","2018","2018","1000 US$","5051","*","Unofficial figure"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","659","Coffee, extracts","2018","2018","tonnes","92","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","659","Coffee, extracts","2018","2018","1000 US$","260","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","656","Coffee, green","2018","2018","tonnes","48","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","656","Coffee, green","2018","2018","1000 US$","85","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","656","Coffee, green","2018","2018","tonnes","17","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","656","Coffee, green","2018","2018","1000 US$","16","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","660","Coffee, husks and skins","2018","2018","tonnes","34","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","660","Coffee, husks and skins","2018","2018","1000 US$","208","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","660","Coffee, husks and skins","2018","2018","tonnes","0","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","660","Coffee, husks and skins","2018","2018","1000 US$","0","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5610","Import Quantity","657","Coffee, roasted","2018","2018","tonnes","112","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5622","Import Value","657","Coffee, roasted","2018","2018","1000 US$","751","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5910","Export Quantity","657","Coffee, roasted","2018","2018","tonnes","0","","Official data"
"TCL","Crops and livestock products","165","Pakistan","5922","Export Value","657","Coffee, roasted","2018","2018","1000 US$","0","","Official data"
